ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
6740,19338462,24530,114064.2242,2.942402,27812.45798,311210044.2
6741,5649276,27289,44994.24668,0.678672,6414.057983,16911236.92
6742,6021344,362559,44362.25454,1.030372,15139.90967,36925486687
6743,4114708,0,47213.56716,0.814802,19320.55682,212199510.4
6744,154367086,1769006,600362.6454,18.428102,376113.4877,2718378736
6745,5221281,276906,43073.53897,0.782881,11994.85663,34916498.84
6746,6388249,0,35637.79999,1.195741,21858.01532,123219401
6747,2737315,0,22820.4484,0.709764,14669.25865,39277926.04
6748,2230383,0,61108.85608,0.399902,14107.19073,1354557782
6749,6225338,0,65172.40629,0.884413,14777.73993,151065605
6750,170490566,3052007,666664.9227,21.390209,409275.6904,7972161775
6751,10494071,459678,39160.49706,1.49703,22148.89795,163847670.5
6752,86336586,396007,364120.1368,11.9056,160951.6913,1950690983
6753,7558496,3551860,54580.55599,0.912137,37070.52463,290459969.7
6754,16173810,8539636,51992.01121,2.598652,22898.23639,74748548.36
6755,69636341,6836525,382696.4536,8.413769,184105.9836,1743074408
6756,50325935,0,190932.3365,6.604078,83787.32983,1771115847
6757,19168768,0,98891.29209,2.815842,43297.16467,354254356
6758,13355370,22406,92072.37305,1.960078,34793.21344,123568351.8
6759,1216002,0,30553.46936,0.291815,10484.27246,18706861.69
6760,469273057,36080067,2057295.287,56.770371,1687508.86,36131074059
6761,251552,16548,4854.232856,0.101226,8401.353577,500620.4375
6762,6459524,258346,43617.57936,1.135272,15285.03491,104390581.8
6763,71838440,18399736,253280.4064,8.458679,162317.3382,1932770385
6764,168926213,19606739,371256.442,16.465738,364907.55,4938208480
6765,6710802,269225,64832.56248,0.970457,8821.647888,277104138.3
6766,17771314,201493,91658.53192,2.266838,34936.93903,1769089545
6767,3248081,0,29546.79196,0.583201,10487.53668,32761193.77
6768,5102330,61756,29768.62315,1.067466,19200.98981,90312962.05
6769,23357891,282861,113002.3678,3.656175,65410.53195,28576416.06
6770,55663109,23906412,78929.48741,5.999305,49425.4649,447263017.9
6771,42066821,3255582,178962.4966,6.085482,93266.59323,2035417429
6772,60882172,12512877,262742.9398,7.834099,134366.92,1410348258
6773,17067430,0,122318.374,2.684751,51213.38766,1070072702
6774,4478368,0,36784.22387,0.861651,17136.51636,102604886.6
6775,3274034,1068407,11036.24277,0.621669,9434.84198,119944491
6776,2828216,28829,16651.1364,0.556409,8887.611847,25294337
6777,24082592,293009,122484.894,3.428936,56913.91296,1224787493
6778,1019475,0,28895.66207,0.247815,9202.50061,137707645
6779,7759858,40695,83467.45387,1.022775,23572.63611,396568928.3
6780,59970733,827675,398849.0909,6.702513,124605.9226,2118756006
6781,9591206,111112,63848.38964,1.553611,27368.53781,106644149.8
6782,425182,0,12051.21794,0.114181,3018.710205,1250933.625
6783,6290018,984860,73944.18478,1.114372,34778.53192,543559891.4
6784,10912154,5533577,41291.87837,1.367094,20455.15958,186127828
6785,7636785,239958,48018.32695,1.364177,20285.42737,40700474.31
6786,26876176,5966481,175457.1023,3.975179,84067.06781,2188844407
6787,4410175,77663,21678.48606,0.757675,5827.420166,179114
6788,20366176,0,99737.03522,3.028268,37496.33716,665981902.6
6789,11733621,5724890,45747.35465,1.675938,16352.80554,166597767.5
6790,49249974,1908451,239271.212,6.460452,123597.919,8867334286
6791,3908108,0,50803.18549,0.694225,21012.59766,39247259.13
6792,3499476,117830,48217.95606,0.66335,19945.66849,32927095.19
6793,110532,29157,2306.46608,0.0442,1258.160278,0
6794,810122,0,17759.30749,0.270718,12426.83051,236943287.5
6795,4721972,0,28247.55761,0.772625,8560.043579,32788073
